住所,区,地域,ジャンル,店舗名,取扱商品,カテゴリ,カテゴリ(麺類),カテゴリ(薬局),カテゴリ(衣服),カテゴリ(洋菓子)
新潟県新潟市北区島見町,北区,島見町,食品、衣料品、生活雑貨、くすり,有田鮮魚,生鮮,買 う,0,0,0,0
新潟県新潟市北区葛塚,北区,葛塚,食品、衣料品、生活雑貨、くすり,井越呉服店,呉服店,買 う,0,0,1,0
新潟県新潟市北区白新町,北区,白新町,食品、衣料品、生活雑貨、くすり,江口屋酒店,酒類・,買 う,0,0,0,0
新潟県新潟市北区松浜みなと,北区,松浜みなと,食品、衣料品、生活雑貨、くすり,江口屋酒店,酒類・食品・ギフト,買 う,0,0,0,0
新潟県新潟市北区松浜本町,北区,松浜本町,食品、衣料品、生活雑貨、くすり,江口屋商店,酒類 食品 雑貨 等,買 う,0,0,0,0
新潟県新潟市北区内島見,北区,内島見,食品、衣料品、生活雑貨、くすり,越後伝衛門,清酒,買 う,0,0,0,0
新潟県新潟市北区葛塚,北区,葛塚,食品、衣料品、生活雑貨、くすり,カネセ鮮魚店,茶わん蒸し・さしみ,買 う,0,0,0,0
新潟県新潟市北区葛塚,北区,葛塚,食品、衣料品、生活雑貨、くすり,かみの井豊栄店,衣料品、日用雑貨、等 生活必需品全般,買 う,0,0,0,0
新潟県新潟市北区三軒屋町,北区,三軒屋町,食品、衣料品、生活雑貨、くすり,かみの井松浜店,化粧品・衣料・雑貨小売,買 う,0,0,0,0
新潟県新潟市北区葛塚,北区,葛塚,食品、衣料品、生活雑貨、くすり,葛塚市場,野菜・鮮魚・青果・衣料,買 う,0,0,0,0
新潟県新潟市北区松浜本町,北区,松浜本町,食品、衣料品、生活雑貨、くすり,くすりのスズムラ,漢方薬・一般医療,買 う,0,1,0,0
新潟県新潟市北区葛塚,北区,葛塚,食品、衣料品、生活雑貨、くすり,紺伝商店,衣料品,買 う,0,0,0,0
新潟県新潟市北区嘉山,北区,嘉山,食品、衣料品、生活雑貨、くすり,菜菓亭おかしの里嘉山店,和洋菓子,買 う,0,0,0,0
新潟県新潟市北区葛塚,北区,葛塚,食品、衣料品、生活雑貨、くすり,菜菓亭豊栄本店,和洋菓子,買 う,0,0,0,0
新潟県新潟市北区須戸,北区,須戸,食品、衣料品、生活雑貨、くすり,サンコウ,お酒,買 う,0,0,0,0
新潟県新潟市北区木崎,北区,木崎,食品、衣料品、生活雑貨、くすり,産直とよさかげんき村,農産物直売所,買 う,0,0,0,0
新潟県新潟市北区白新町,北区,白新町,食品、衣料品、生活雑貨、くすり,三和ビューティールーム,化粧品,買 う,0,0,0,0
新潟県新潟市北区白新町,北区,白新町,食品、衣料品、生活雑貨、くすり,島倉駅前薬店,医薬品・漢方薬の相談販売,買 う,0,1,0,0
新潟県新潟市北区葛塚,北区,葛塚,食品、衣料品、生活雑貨、くすり,昭和堂製菓,クレープ・潟来亭サブレ,買 う,0,0,0,0
新潟県新潟市北区葛塚,北区,葛塚,食品、衣料品、生活雑貨、くすり,曽我酒店,和洋酒・調味料・盛篭,買 う,0,0,0,0
新潟県新潟市北区葛塚,北区,葛塚,食品、衣料品、生活雑貨、くすり,大正堂製菓舗,菓子,買 う,0,0,0,0
新潟県新潟市北区松浜本町,北区,松浜本町,食品、衣料品、生活雑貨、くすり,高橋精肉店,精肉・お弁当・自然食品,買 う,0,0,0,0
新潟県新潟市北区朝日町,北区,朝日町,食品、衣料品、生活雑貨、くすり,滝沢米穀店,米,買 う,0,0,0,0
新潟県新潟市北区松浜本町,北区,松浜本町,食品、衣料品、生活雑貨、くすり,滝まん菓子店,菓子製造 小売,買 う,0,0,0,0
新潟県新潟市北区早通南,北区,早通南,食品、衣料品、生活雑貨、くすり,ダスキン早通,清掃用具レンタル・清掃用品,買 う,0,0,0,0
新潟県新潟市北区葛塚,北区,葛塚,食品、衣料品、生活雑貨、くすり,田沼屋,菓子製造販売,買 う,0,0,0,0
新潟県新潟市北区嘉山,北区,嘉山,食品、衣料品、生活雑貨、くすり,DHC酒造 越後の里 嘉山亭,日本酒、ビール、おつまみ、お菓子,買 う,0,0,0,0
新潟県新潟市北区笹山,北区,笹山,食品、衣料品、生活雑貨、くすり,寺尾米店,お米・食品・・切手等,買 う,0,0,0,0
新潟県新潟市北区石動,北区,石動,食品、衣料品、生活雑貨、くすり,ときわぎ薬局,薬局,買 う,0,1,0,0
新潟県新潟市北区葛塚,北区,葛塚,食品、衣料品、生活雑貨、くすり,外山酒店,酒類小売業,買 う,0,0,0,0
新潟県新潟市北区太田甲,北区,太田甲,食品、衣料品、生活雑貨、くすり,外山鮮魚,鮮魚,買 う,0,0,0,0
新潟県新潟市北区葛塚,北区,葛塚,食品、衣料品、生活雑貨、くすり,長澤洋服店,婦人洋品・洋服,買 う,0,0,1,0
新潟県新潟市北区新崎,北区,新崎,食品、衣料品、生活雑貨、くすり,新潟せんべい王国,せんべい、あられ、おかき,買 う,0,0,0,0
新潟県新潟市北区葛塚,北区,葛塚,食品、衣料品、生活雑貨、くすり,ニットショップやまだ,婦人衣料 ミセス&シルバーファッション,買 う,0,0,0,0
新潟県新潟市北区長場,北区,長場,食品、衣料品、生活雑貨、くすり,原商店,酒・食品・衣料品,買 う,0,0,0,0
新潟県新潟市北区松浜本町,北区,松浜本町,食品、衣料品、生活雑貨、くすり,平田米店,主食販売・お米・麦 他,買 う,0,0,0,0
新潟県新潟市北区松浜,北区,松浜,食品、衣料品、生活雑貨、くすり,平田酒店,酒・食料品,買 う,0,0,0,0
新潟県新潟市北区松浜本町,北区,松浜本町,食品、衣料品、生活雑貨、くすり,ボンクールSAITO,洋菓子製造販売,買 う,0,0,0,0
新潟県新潟市北区松浜本町,北区,松浜本町,食品、衣料品、生活雑貨、くすり,松浜市場組合,鮮魚・青果・衣料・その他,買 う,0,0,0,0
新潟県新潟市北区松浜,北区,松浜,食品、衣料品、生活雑貨、くすり,丸公酒店,酒類・食品,買 う,0,0,0,0
新潟県新潟市北区早通南,北区,早通南,食品、衣料品、生活雑貨、くすり,マロン洋菓子店,洋菓子,買 う,0,0,0,0
新潟県新潟市北区松浜本町,北区,松浜本町,食品、衣料品、生活雑貨、くすり,南呉服店,衣料品,買 う,0,0,0,0
新潟県新潟市北区木崎,北区,木崎,食品、衣料品、生活雑貨、くすり,宮川酒店,クリーニング・ラボ・ワゴー尾山店,買 う,0,0,0,0
新潟県新潟市北区葛塚,北区,葛塚,食品、衣料品、生活雑貨、くすり,八百三商店,青果物食料品,買 う,0,0,0,0
新潟県新潟市北区松浜本町,北区,松浜本町,食品、衣料品、生活雑貨、くすり,やおちょう,野菜と酒を取り扱っています,買 う,0,0,0,0
新潟県新潟市北区葛塚,北区,葛塚,食品、衣料品、生活雑貨、くすり,YAMAKI,紳士服・学生服・作業服販売,買 う,0,0,0,0
新潟県新潟市北区葛塚,北区,葛塚,食品、衣料品、生活雑貨、くすり,ヤマサ小池鮮魚,鮮魚・刺身・焼魚,買 う,0,0,0,0
新潟県新潟市北区葛塚,北区,葛塚,食品、衣料品、生活雑貨、くすり,味噌醤油の蔵元 山田屋,味噌、醤油甘酒,買 う,0,0,0,0
新潟県新潟市北区森下,北区,森下,食品、衣料品、生活雑貨、くすり,街道屋商店,食品,買 う,0,0,0,0
